Date,FTSE 100,FTSE 250,FTSE 350,FTSE SmallCap,FTSE AllShare,FTSE Fledgling,FTSE AllSmall,FTSE AIM UK 50 Index,FTSE AIM 100 INDEX,FTSE AIM All-Share,Close/Last,Open_NASDAQ,High_NASDAQ,Low_NASDAQ,Index Name,Open_NIFTY,High_NIFTY,Low_NIFTY,Close_x,Start,End,Open,High,Low,Close_y,Volume,Market Cap
2015-05-05,6927.57714341,17452.06790718,3810.3761505,4655.60303449,3744.86438473,7636.80181249,3225.14237226,3857.48086879,3395.732315,751.67597841,4409.39,4464.21,4472.23,4407.27,NIFTY 50,8338.4,8355.65,8280.6,8324.8,2015-05-05,2015-05-06,239.018,239.204,232.054,236.121,24112546.5454545,3324733955.23907
2015-05-06,6933.73815952,17412.08484596,3811.78748831,4666.5846405,3746.50037761,7625.34475827,3232.19014432,3856.63966879,3392.86285125,751.57108117,4379.75,4420.3,4429.96,4349.93,NIFTY 50,8316.6,8331.95,8083,8097,2015-05-06,2015-05-07,236.249,236.454,229.231,229.439,20314082.733813,3316756498.43336
2015-05-07,6886.94967316,17447.96104391,3791.52997885,4629.0123404,3726.2463928,7613.14171235,3207.100837,3857.280793,3375.75319756,748.62255787,4401.55,4377.81,4413.73,4373.29,NIFTY 50,8077,8122.6,7997.15,8057.3,2015-05-07,2015-05-08,229.782,239.105,228.573,237.135,32251069.4444444,3281892838.22578
2015-05-08,7046.82351059,17935.93038268,3882.50129551,4695.34983273,3814.44861069,7646.65139527,3251.62561759,3905.41806221,3402.5657516,753.31863762,4458.65,4445,4466.17,4441.73,NIFTY 50,8131.5,8224.95,8123.45,8191.5,2015-05-08,2015-05-09,237.334,246.275,236.274,243.94,28396472.9166667,3390403535.32211
2015-05-11,7029.84940054,17870.64385757,3872.36251709,4720.11568002,3805.4832093,7662.7416399,3268.31608964,3955.89035538,3436.89480123,759.2038888,4438.64,4457.62,4468.75,4437.53,NIFTY 50,8243.2,8332.75,8224.65,8325.25,2015-05-11,2015-05-12,240.296,244.27,239.376,241.949,16872073.2638889,3414261408.01601
2015-05-12,6933.7983849,17689.22954639,3821.6891156,4686.89290847,3756.45253955,7667.54108634,3246.4272902,3942.37318581,3423.42585231,756.93964555,4420.65,4412.82,4441.4,4380.52,NIFTY 50,8326.15,8326.65,8115.3,8126.95,2015-05-12,2015-05-13,242.158,242.881,240.099,241.494,21330665.1567944,3417333592.84719
2015-05-13,6949.62918326,17861.52727051,3835.1141696,4705.05688031,3769.69412835,7697.50296048,3259.01344295,3950.61250284,3433.47341169,759.90901166,4426.56,4436.08,4460.54,4421.75,NIFTY 50,8181.55,8254.95,8089.8,8235.45,2015-05-13,2015-05-14,241.112,243.704,235.045,236.525,18771225.4355401,3430691258.73208
2015-05-14,6973.03601778,17929.32931343,3848.30352245,4714.84982748,3782.48671457,7683.22135745,3265.22116644,3945.25868752,3423.7193134,759.46589243,4495.04,4461.07,4496.25,4448.38,NIFTY 50,8232.45,8236.25,8137.3,8224.2,2015-05-14,2015-05-15,236.377,237.799,234.057,236.886,27504704.1666667,3346507068.86568
2015-05-15,6960.48652391,18020.41550867,3845.77429992,4710.1346346,3779.95728229,7711.84132418,3262.64480249,3956.9929597,3432.89380531,762.00147305,4494.29,4505.39,4509.13,4482.55,NIFTY 50,8240.3,8279.2,8212.2,8262.35,2015-05-15,2015-05-16,236.929,238.753,236.795,237.589,21586096.5277778,3362855028.96402
2015-05-18,6968.87170459,18022.20613685,3849.69675435,4734.35261205,3784.3345724,7744.68608256,3279.29105241,3975.80534154,3412.53754037,759.98825391,4512.95,4487.14,4521.01,4483.76,NIFTY 50,8284.95,8384.6,8271.95,8373.65,2015-05-18,2015-05-19,236.802,237.21,232.46,232.98,12964179.3706294,3347421350.83009
2015-05-19,6995.09955265,18176.1342671,3867.2565629,4752.54589259,3801.50478139,7779.92659523,3291.9967884,3994.49235809,3423.9773902,762.43325399,4503.72,4514.66,4521.85,4498.53,NIFTY 50,8356.2,8427.8,8335,8365.65,2015-05-19,2015-05-20,233.128,234.151,231.817,231.936,16989196.5156794,3301694442.12995
2015-05-20,7007.26393754,18135.53271074,3871.40292476,4764.80700538,3805.77351913,7803.70476794,3300.56018291,3994.07639847,3426.61155643,762.62710717,4505.3,4505.59,4533.92,4484.52,NIFTY 50,8392.65,8440.35,8391.45,8423.25,2015-05-20,2015-05-21,231.947,234.683,231.842,233.959,14876891.6376307,3306486817.53392
2015-05-21,7013.47425088,18154.54759343,3874.93909968,4762.95531686,3809.08274049,7852.9500127,3300.26983281,3982.38621236,3429.48885364,763.65248215,4529.47,4499.42,4537.28,4495.39,NIFTY 50,8434.5,8446.35,8382.5,8421,2015-05-21,2015-05-22,234.018,236.242,233.835,235.349,15627859.375,3333907308.43803
2015-05-22,7031.7211748,18192.68807771,3884.69539069,4781.18411647,3818.84053243,7871.28926668,3312.6775547,4004.29823463,3442.4157269,766.71021988,4527.16,4522.86,4542.46,4522.61,NIFTY 50,8432.5,8489.55,8420.6,8458.95,2015-05-22,2015-05-23,235.344,240.969,235.06,240.463,18697210.0694444,3365380253.49152
2015-05-26,6948.99217131,18098.81444901,3843.28843806,4773.60345161,3779.29935124,7863.94331394,3307.52299872,3985.24753782,3433.93635938,764.86206095,4472.96,4516.63,4521.85,4456.76,NIFTY 50,8377.1,8378.9,8320.05,8339.35,2015-05-26,2015-05-27,237.11,238.242,235.692,237.249,14999795.4063604,3371851481.12197
2015-05-27,7033.32856713,18237.47205512,3887.03609764,4783.67916052,3821.13004712,7867.9273955,3314.26426536,4019.78573897,3446.98304687,765.90238169,4546.06,4488.05,4551.53,4479.74,NIFTY 50,8302.75,8342.85,8277.95,8334.6,2015-05-27,2015-05-28,237.116,238.636,236.695,237.277,17261091.4590747,3373386182.03435
2015-05-28,7040.9237365,18237.00001132,3890.51252161,4792.40989455,3824.66708352,7881.68527324,3320.30170655,4075.24738741,3485.18912475,770.26477977,4535.66,4537.48,4548.24,4523.55,NIFTY 50,8345.7,8364.5,8270.15,8319,2015-05-28,2015-05-29,237.283,237.824,236.652,237.397,16616650.5791506,3372598531.57111
2015-05-29,6984.42696532,18154.42039073,3861.57734302,4790.47511336,3797.11793196,7892.11680057,3319.22267663,4079.32200953,3491.88919046,772.60221927,4508.25,4532.15,4539.57,4499.65,NIFTY 50,8327.1,8443.9,8305.7,8433.65,2015-05-29,2015-05-30,237.408,237.522,235.731,237.115,14946369.4444444,3366297189.3876
2015-06-01,6953.58229604,18220.20296965,3849.7519399,4808.98870978,3786.37219748,7917.82559662,3331.95835204,4124.84490392,3507.62714083,775.82569798,4521.85,4530.03,4535.43,4488.17,NIFTY 50,8417.25,8467.15,8405.4,8433.4,2015-06-01,2015-06-02,230.19,231.713,221.296,222.926,19407985.9649123,3232509033.76631
2015-06-02,6928.26832767,18220.31015533,3838.11695763,4816.5263506,3775.51645156,7933.1828002,3337.23739434,4137.31454887,3505.87261633,775.40162069,4508.89,4503.76,4531.08,4486.19,NIFTY 50,8442.8,8445.35,8226.05,8236.45,2015-06-02,2015-06-03,222.894,226.416,222.419,225.827,24994365.0909091,3191267944.79146
2015-06-03,6950.46046546,18263.46216901,3849.86612334,4822.60997439,3786.84338605,7945.84717561,3341.50327491,4160.51106548,3518.06428196,778.12602792,4519.86,4531.04,4539.36,4512.44,NIFTY 50,8232.45,8236.7,8094.15,8135.1,2015-06-03,2015-06-04,225.803,227.404,223.93,225.8,18991333.1010453,3216312279.00458
2015-06-04,6859.23771049,18090.41543219,3801.7251393,4796.23646849,3740.39395216,7944.79519039,3324.04264673,4155.43274338,3508.02245076,777.32511639,4487.03,4501.73,4526.21,4475.05,NIFTY 50,8155.15,8160.05,8056.75,8130.65,2015-06-04,2015-06-05,225.874,226.581,224.054,224.273,15809486.8055556,3209573575.41885
2015-06-05,6804.59669231,17931.28980946,3770.90257498,4796.25714844,3711.10457713,7936.5213932,3323.8976588,4139.53452328,3494.82883843,775.74446167,4477.19,4483.43,4493.43,4452.32,NIFTY 50,8119.15,8191,8100.15,8114.7,2015-06-05,2015-06-06,224.324,225.968,223.179,224.97,17000379.1666667,3196456691.56977
2015-06-08,6790.04148721,17878.43368169,3762.31751773,4786.54977084,3702.68762986,7951.69733193,3317.77500747,4105.18460802,3477.13755065,774.12081687,4431.51,4476.69,4477.83,4423.8,NIFTY 50,8124.35,8131,8030.55,8044.15,2015-06-08,2015-06-09,222.881,229.464,222.839,228.536,17321369.0972222,3219474991.14158
2015-06-09,6753.79625786,17839.79367738,3744.26705767,4768.90399218,3685.06354482,7948.19763256,3306.04365142,4087.16880834,3459.75354918,772.08928152,4427.61,4421.02,4441.62,4392.45,NIFTY 50,8026.5,8057.15,8005.15,8022.4,2015-06-09,2015-06-10,228.489,230.954,227.929,229.103,28453549.6527778,3269821484.26831
2015-06-10,6830.27333396,18030.12910288,3786.24766696,4770.0198722,3724.99946112,7961.67918881,3307.0422171,4110.35777266,3469.72549828,773.72839703,4485.46,4440.54,4497.51,4435.29,NIFTY 50,8024.15,8152.25,8023.8,8124.45,2015-06-10,2015-06-11,229.048,229.782,228.01,228.839,19940991.2891986,3263199630.36069
2015-06-11,6846.74409725,18089.44550353,3795.94480712,4775.37069261,3734.35863367,7980.56798302,3310.94441416,4103.33405139,3466.03322317,773.40839988,4488.47,4498.49,4511.32,4483.84,NIFTY 50,8157.3,8163.05,7958.25,7965.35,2015-06-11,2015-06-12,228.803,230.287,228.767,229.689,15596744.4444444,3275507525.9476
2015-06-12,6784.91547429,17949.08890773,3762.48913021,4754.69441105,3702.01052176,7965.89104645,3296.99300424,4100.70330396,3467.17307646,774.4462086,4453.79,4467.38,4476.21,4449.21,NIFTY 50,7959.85,7995.6,7940.3,7982.9,2015-06-12,2015-06-13,229.705,231.057,229.313,230.057,13864802.7777778,3283656983.06202
2015-06-15,6710.52243047,17728.72717722,3720.39238248,4713.70093187,3660.91237513,7928.7420383,3269.17686666,4075.62379628,3445.84800443,770.80732974,4432.92,4416.14,4437.97,4396.13,NIFTY 50,7986.6,8057.7,7944.85,8013.9,2015-06-15,2015-06-16,233.543,237.836,233.422,236.861,15019094.0972222,3358805959.76456
2015-06-16,6710.09635107,17736.18964217,3720.4634685,4708.43367721,3660.84100874,7918.26487017,3265.49251033,4070.37936094,3438.46476613,767.66484987,4455.9,4428.3,4463.2,4426.19,NIFTY 50,8004.2,8061.85,7952.35,8047.3,2015-06-16,2015-06-17,236.823,251.742,236.122,250.431,27651092.3611111,3453196841.432
2015-06-17,6680.54944751,17706.16836286,3705.80131867,4735.85999954,3647.62674587,7925.55530196,3283.76313268,4042.82191125,3423.83444348,765.93645609,4468.98,4465.17,4482.27,4441.34,NIFTY 50,8084.2,8136.85,8048.95,8091.55,2015-06-17,2015-06-18,250.895,256.853,246.476,248.922,48214697.9094077,3585136627.14074
2015-06-18,6707.8818422,17678.90268212,3717.39519687,4731.35240271,3658.52886298,7913.47370086,3280.54992046,4033.12652509,3411.33758211,764.0163782,4531.85,4483.61,4540.69,4483.61,NIFTY 50,8113.7,8186.9,8101.8,8174.6,2015-06-18,2015-06-19,249.284,252.108,244.127,248.873,36441462.1527778,3556637400.49593
2015-06-19,6710.4477386,17704.99250212,3719.50875706,4713.16430862,3660.05820148,7927.88924005,3268.80565614,4074.97321047,3441.29615875,767.93273964,4513.42,4538.71,4539.49,4511.21,NIFTY 50,8201.15,8250.8,8195.65,8224.95,2015-06-19,2015-06-20,249.007,250.977,243.787,244.519,25736086.1111111,3542970185.54902
2015-06-22,6825.66858225,17906.28818021,3779.68116364,4750.74314729,3718.1771953,8003.07048919,3295.1344702,4082.96644355,3451.27783699,769.72894531,4544.04,4541.85,4557.98,4534.76,NIFTY 50,8259.3,8369.45,8257.4,8353.1,2015-06-22,2015-06-23,243.944,247.917,243.779,246.998,14778768.0555556,3514063021.43566
2015-06-23,6834.87045917,17997.61551703,3787.19597614,4756.89511508,3725.47760301,8021.2029569,3299.5757133,4084.5588454,3454.45569046,770.31502803,4548.74,4549.52,4551.77,4529.99,NIFTY 50,8377.45,8398.45,8334.95,8381.55,2015-06-23,2015-06-24,246.99,247.304,243.133,244.346,16167243.75,3504395505.27562
2015-06-24,6844.7980732,17924.78303967,3789.13295449,4766.81022344,3727.59239784,8023.64533374,3306.13323947,4102.31139283,3465.8031025,770.96144196,4524.6,4542.07,4561.64,4523.9,NIFTY 50,8399.4,8421.35,8338.9,8360.85,2015-06-24,2015-06-25,244.296,244.341,240.525,240.525,16055075.4385965,3472006017.70046
2015-06-25,6807.82166612,17944.88125654,3772.87408746,4747.51304107,3711.62996911,8033.11168347,3293.68942826,4124.85986745,3477.77726174,772.40888372,4514.01,4540.4,4546.15,4508.66,NIFTY 50,8336.25,8423.15,8329.5,8398,2015-06-25,2015-06-26,240.515,243.332,240.365,242.694,17528632.6388889,3462875882.85313
2015-06-26,6753.69974377,17822.32971732,3743.60432237,4746.4675384,3683.83667109,8010.67474218,3292.50084769,4072.16980472,3441.20065561,768.53559806,4484.28,4514.37,4523.97,4469.23,NIFTY 50,8393.95,8408.55,8339.7,8381.1,2015-06-26,2015-06-27,242.799,243.749,241.553,243.599,13437526.7361111,3465127431.84266
2015-06-29,6620.47849383,17534.67141554,3672.06116005,4684.1912409,3614.23130042,7934.21168282,3249.94335959,4003.28885698,3374.86423221,755.13399061,4379.86,4433.11,4460.08,4377.23,NIFTY 50,8247.05,8329.45,8195.65,8318.4,2015-06-29,2015-06-30,249.011,257.173,248.581,257.022,22187651.7361111,3614635058.31327
2015-06-30,6520.97582739,17531.4959975,3626.25316412,4677.04977437,3570.58025032,7924.62659728,3245.04487099,4016.51472011,3380.28617287,755.68174105,4396.76,4414.86,4420.5,4381.94,NIFTY 50,8316.35,8378,8298.95,8368.5,2015-06-30,2015-07-01,257.064,267.867,255.946,263.107,44240863.5416667,3761552833.85681
2015-07-01,6608.58614324,17717.04769748,3673.17132105,4700.34172944,3615.73635002,7932.96307546,3260.50702413,4091.76001952,3426.27044784,761.92476368,4429.23,4433.79,4445.9,4409.42,NIFTY 50,8376.25,8481.6,8370.15,8453.05,2015-07-01,2015-07-02,263.072,265.172,255.774,258.651,34119346.6898955,3727003337.71385
2015-07-02,6630.46701682,17686.02439265,3682.10039731,4710.90347922,3624.5016217,7946.25554736,3267.73174567,4089.40256065,3418.69363503,761.31320087,4433.39,4440.17,4445.83,4417.48,NIFTY 50,8471.95,8479.25,8433.2,8444.9,2015-07-02,2015-07-03,258.621,261.631,254.116,255.499,24756127.8745645,3683844492.1049
2015-07-03,6585.77627965,17613.45557173,3658.9626526,4708.01103539,3602.46711418,7960.34005016,3266.1489893,4100.46192425,3443.46610648,763.97079219,4433.39,0,0,0,NIFTY 50,8440.1,8497.75,8424.15,8484.9,2015-07-03,2015-07-04,255.412,257.077,253.505,256.212,19815805.2083333,3663234421.13706
2015-07-06,6535.67611336,17443.27701074,3629.82390153,4677.75338125,3573.97908018,7930.52815607,3245.6344753,4066.71757685,3413.34654939,758.50764961,4418.66,4394.44,4444.41,4394.44,NIFTY 50,8386.15,8533.15,8386.15,8522.15,2015-07-06,2015-07-07,271.913,277.422,267.6,269.045,51140740.625,3891680097.5197
2015-07-07,6432.21377074,17212.92890047,3574.01200775,4636.76344283,3519.88439707,7915.14695504,3218.40167913,4000.27163969,3367.48209218,750.20701179,4429.06,4422.75,4434.91,4344.15,NIFTY 50,8525.5,8561.35,8483.85,8510.8,2015-07-07,2015-07-08,269.03,271.341,264.832,266.683,41468115.9722222,3856572198.17083
2015-07-08,6490.696851,17112.85780751,3597.26558025,4629.36428548,3541.74313069,7874.9784252,3212.65120107,3955.48552926,3337.05738301,744.19114544,4351.58,4392.51,4403.13,4346.42,NIFTY 50,8439.2,8457.5,8341.4,8363.05,2015-07-08,2015-07-09,266.207,272.971,264.386,270.596,31255541.8118467,3851824306.34596
2015-07-09,6581.630783,17295.99625099,3645.6233247,4649.81554117,3588.19488016,7897.62344202,3226.57274265,3979.42316158,3341.2453081,744.77294585,4352.03,4410.27,4414.43,4351.51,NIFTY 50,8364.85,8400.3,8323,8328.55,2015-07-09,2015-07-10,270.785,272.335,267.086,269.46,39345489.2361111,3878060812.94019
2015-07-10,6673.38017575,17486.27454308,3694.61278498,4681.16266891,3635.54844202,7928.345353,3247.82229526,4016.04704561,3370.90377634,749.82125198,4420.15,4405.99,4434.11,4394.01,NIFTY 50,8365.7,8377.1,8315.4,8360.55,2015-07-10,2015-07-11,269.228,294.591,268.802,285.113,69429058.3333333,4033630287.54101
2015-07-13,6737.95034312,17708.88277892,3732.28545156,4699.4339195,3671.80117503,7943.47147639,3260.14592249,4019.94279047,3383.68083529,752.39173057,4494.47,4457.76,4498.74,4456.54,NIFTY 50,8397.25,8471.65,8355.4,8459.65,2015-07-13,2015-07-14,310.867,310.948,281.011,292.307,58957635.0694445,4227688955.77033
2015-07-14,6753.74602329,17642.39888899,3737.14408228,4703.05409772,3676.51175202,7953.82559159,3262.7526154,4066.67489759,3400.9698533,755.14356017,4523.47,4503.2,4537.21,4500.66,NIFTY 50,8470.6,8480.25,8424.1,8454.1,2015-07-14,2015-07-15,292.054,296.147,286.638,287.76,41132833.1010453,4180188781.02161
2015-07-15,6753.75115566,17637.08167519,3736.9548736,4707.62740107,3676.4591519,8006.17696772,3266.92897444,4091.60980982,3414.52909558,756.22294807,4528.36,4531.32,4547.18,4517.4,NIFTY 50,8463.4,8531.4,8462.95,8523.8,2015-07-15,2015-07-16,287.464,293.248,285.367,286.083,27318135.1916376,4189638938.33662
2015-07-16,6796.44735607,17765.37152476,3761.1842731,4727.81315058,3700.00940825,8024.50502724,3280.57723976,4070.68171573,3414.33862131,756.75754556,4594.9,4567.06,4595.02,4558.32,NIFTY 50,8546.15,8616.1,8542.9,8608.05,2015-07-16,2015-07-17,285.829,291.183,275.24,278.088,39527362.5,4064526218.62446
2015-07-17,6775.08300984,17755.9052237,3751.03204373,4735.21917741,3690.5820401,8025.82698833,3285.46822142,4072.85408642,3417.03800352,756.84246616,4661.6,4635.48,4661.6,4624.68,NIFTY 50,8623.65,8642.95,8593.15,8609.85,2015-07-17,2015-07-18,278.089,280.28,272.043,279.544,39498802.0833333,3988992409.23718
2015-07-20,6788.69180777,17781.41695357,3758.20082618,4738.31849492,3697.47013665,8036.74228259,3287.74346949,4090.44943001,3429.315205,758.00611012,4679.68,4670.23,4694.13,4657.98,NIFTY 50,8623.9,8624.1,8559,8603.45,2015-07-20,2015-07-21,273.614,278.4,272.96,278.4,19547404.5296167,3978464700.20377
