Date,Daily_Spending,Savings_Investment_Value,Total_Portfolio_Value,Portfolio_Return_YTD,Investment_Goal,Risk_Tolerance
2015-05-05,47.49,0.0,0.0,0.0089,Wealth Accumulation,Medium
2015-05-06,59.02,0.0,0.0,-0.0017,Wealth Accumulation,Medium
2015-05-07,54.65,7.99,7.99,0.01,Wealth Accumulation,Medium
2015-05-08,51.98,0.0,7.97,-0.0024,Wealth Accumulation,Medium
2015-05-09,43.13,7.24,15.26,0.0066,Wealth Accumulation,Medium
2015-05-10,43.13,0.0,15.24,-0.0016,Wealth Accumulation,Medium
2015-05-11,41.18,7.35,22.53,-0.0038,Wealth Accumulation,Medium
2015-05-12,57.34,0.0,22.71,0.0081,Wealth Accumulation,Medium
2015-05-13,52.04,0.0,22.89,0.0079,Wealth Accumulation,Medium
2015-05-14,54.19,8.72,31.64,0.0011,Wealth Accumulation,Medium
2015-05-15,40.44,0.0,31.81,0.0055,Wealth Accumulation,Medium
2015-05-16,59.43,8.37,40.29,0.0034,Wealth Accumulation,Medium
2015-05-17,56.68,0.0,40.6,0.0078,Wealth Accumulation,Medium
2015-05-18,44.28,0.0,40.59,-0.0003,Wealth Accumulation,Medium
2015-05-19,43.67,0.0,40.71,0.0029,Wealth Accumulation,Medium
2015-05-20,43.71,0.0,40.8,0.0023,Wealth Accumulation,Medium
2015-05-21,46.13,8.13,48.95,0.0003,Wealth Accumulation,Medium
2015-05-22,50.54,0.0,49.36,0.0084,Wealth Accumulation,Medium
2015-05-23,48.69,7.2,56.43,-0.0025,Wealth Accumulation,Medium
2015-05-24,45.88,0.0,56.28,-0.0028,Wealth Accumulation,Medium
2015-05-25,52.29,0.0,56.48,0.0037,Wealth Accumulation,Medium
2015-05-26,42.85,0.0,56.76,0.0049,Wealth Accumulation,Medium
2015-05-27,45.9,6.83,63.47,-0.0021,Wealth Accumulation,Medium
2015-05-28,47.39,0.0,63.53,0.0009,Wealth Accumulation,Medium
2015-05-29,49.19,0.0,64.11,0.0092,Wealth Accumulation,Medium
2015-05-30,55.77,0.0,64.03,-0.0013,Wealth Accumulation,Medium
2015-05-31,44.06,7.6,71.95,0.005,Wealth Accumulation,Medium
2015-06-01,50.36,7.24,79.63,0.0061,Wealth Accumulation,Medium
2015-06-02,51.92,7.93,87.69,0.0017,Wealth Accumulation,Medium
2015-06-03,41.01,0.0,88.49,0.0091,Wealth Accumulation,Medium
2015-06-04,52.23,7.97,96.99,0.006,Wealth Accumulation,Medium
2015-06-05,43.49,0.0,97.18,0.0019,Wealth Accumulation,Medium
2015-06-06,41.39,7.08,104.6,0.0035,Wealth Accumulation,Medium
2015-06-07,59.07,0.0,105.16,0.0054,Wealth Accumulation,Medium
2015-06-08,59.4,0.0,105.57,0.0039,Wealth Accumulation,Medium
2015-06-09,56.26,0.0,106.44,0.0082,Wealth Accumulation,Medium
2015-06-10,46.19,0.0,106.48,0.0004,Wealth Accumulation,Medium
2015-06-11,42.05,9.76,116.19,-0.0005,Wealth Accumulation,Medium
2015-06-12,53.79,7.96,123.94,-0.0018,Wealth Accumulation,Medium
2015-06-13,48.91,6.89,130.28,-0.0044,Wealth Accumulation,Medium
2015-06-14,42.55,0.0,129.71,-0.0044,Wealth Accumulation,Medium
2015-06-15,50.01,0.0,130.76,0.0081,Wealth Accumulation,Medium
2015-06-16,40.8,0.0,131.44,0.0052,Wealth Accumulation,Medium
2015-06-17,58.3,0.0,132.08,0.0049,Wealth Accumulation,Medium
2015-06-18,45.3,0.0,132.64,0.0042,Wealth Accumulation,Medium
2015-06-19,53.37,0.0,133.66,0.0077,Wealth Accumulation,Medium
2015-06-20,46.36,0.0,133.95,0.0022,Wealth Accumulation,Medium
2015-06-21,50.53,9.87,144.91,0.0081,Wealth Accumulation,Medium
2015-06-22,51.06,0.0,144.97,0.0004,Wealth Accumulation,Medium
2015-06-23,43.83,0.0,146.26,0.0089,Wealth Accumulation,Medium
2015-06-24,59.53,0.0,147.06,0.0055,Wealth Accumulation,Medium
2015-06-25,55.64,0.0,146.9,-0.0011,Wealth Accumulation,Medium
2015-06-26,58.93,0.0,147.41,0.0035,Wealth Accumulation,Medium
2015-06-27,58.04,7.73,155.59,0.003,Wealth Accumulation,Medium
2015-06-28,52.1,0.0,155.14,-0.0029,Wealth Accumulation,Medium
2015-06-29,58.59,0.0,155.74,0.0039,Wealth Accumulation,Medium
2015-06-30,41.92,9.62,165.31,-0.0003,Wealth Accumulation,Medium
2015-07-01,44.07,0.0,164.62,-0.0042,Wealth Accumulation,Medium
2015-07-02,41.06,0.0,166.13,0.0092,Wealth Accumulation,Medium
2015-07-03,46.67,0.0,166.9,0.0046,Wealth Accumulation,Medium
2015-07-04,47.94,9.88,178.15,0.0082,Wealth Accumulation,Medium
2015-07-05,45.59,0.0,179.06,0.0051,Wealth Accumulation,Medium
2015-07-06,56.74,0.0,179.13,0.0004,Wealth Accumulation,Medium
2015-07-07,47.31,0.0,179.61,0.0027,Wealth Accumulation,Medium
2015-07-08,45.79,0.0,180.53,0.0051,Wealth Accumulation,Medium
2015-07-09,51.03,0.0,182.22,0.0094,Wealth Accumulation,Medium
2015-07-10,43.0,0.0,182.01,-0.0012,Wealth Accumulation,Medium
2015-07-11,56.23,0.0,183.48,0.0081,Wealth Accumulation,Medium
2015-07-12,41.68,0.0,185.11,0.0089,Wealth Accumulation,Medium
2015-07-13,59.93,0.0,186.06,0.0051,Wealth Accumulation,Medium
2015-07-14,55.64,7.54,195.27,0.009,Wealth Accumulation,Medium
2015-07-15,44.17,0.0,195.47,0.001,Wealth Accumulation,Medium
2015-07-16,40.31,0.0,197.28,0.0093,Wealth Accumulation,Medium
2015-07-17,56.51,0.0,198.37,0.0055,Wealth Accumulation,Medium
2015-07-18,54.34,7.29,204.79,-0.0044,Wealth Accumulation,Medium
2015-07-19,54.78,0.0,206.55,0.0086,Wealth Accumulation,Medium
2015-07-20,55.63,9.76,216.78,0.0023,Wealth Accumulation,Medium
2015-07-21,41.69,6.87,224.06,0.0019,Wealth Accumulation,Medium
2015-07-22,47.38,0.0,224.85,0.0035,Wealth Accumulation,Medium
2015-07-23,42.53,0.0,224.22,-0.0028,Wealth Accumulation,Medium
2015-07-24,57.48,0.0,224.67,0.002,Wealth Accumulation,Medium
2015-07-25,52.69,7.17,233.52,0.0075,Wealth Accumulation,Medium
2015-07-26,46.84,0.0,232.4,-0.0048,Wealth Accumulation,Medium
2015-07-27,41.5,8.16,240.35,-0.0009,Wealth Accumulation,Medium
2015-07-28,46.45,0.0,239.15,-0.005,Wealth Accumulation,Medium
2015-07-29,46.73,0.0,239.44,0.0012,Wealth Accumulation,Medium
2015-07-30,54.83,0.0,240.85,0.0059,Wealth Accumulation,Medium
2015-07-31,52.99,0.0,242.54,0.007,Wealth Accumulation,Medium
2015-08-01,57.98,9.17,253.94,0.0092,Wealth Accumulation,Medium
2015-08-02,49.69,0.0,254.98,0.0041,Wealth Accumulation,Medium
2015-08-03,42.64,8.59,263.26,-0.0012,Wealth Accumulation,Medium
2015-08-04,54.51,0.0,265.61,0.0089,Wealth Accumulation,Medium
2015-08-05,55.47,0.0,267.36,0.0066,Wealth Accumulation,Medium
2015-08-06,51.48,9.19,277.51,0.0036,Wealth Accumulation,Medium
2015-08-07,55.67,0.0,279.01,0.0054,Wealth Accumulation,Medium
2015-08-08,50.13,0.0,281.49,0.0089,Wealth Accumulation,Medium
2015-08-09,50.72,7.37,290.47,0.0057,Wealth Accumulation,Medium
2015-08-10,48.81,8.88,299.49,0.0005,Wealth Accumulation,Medium
2015-08-11,40.77,8.04,309.24,0.0057,Wealth Accumulation,Medium
2015-08-12,42.43,0.0,307.88,-0.0044,Wealth Accumulation,Medium
2015-08-13,40.9,0.0,308.13,0.0008,Wealth Accumulation,Medium
2015-08-14,53.0,9.65,318.11,0.0011,Wealth Accumulation,Medium
2015-08-15,46.56,9.7,327.02,-0.0025,Wealth Accumulation,Medium
2015-08-16,50.45,0.0,325.48,-0.0047,Wealth Accumulation,Medium
2015-08-17,58.43,0.0,324.51,-0.003,Wealth Accumulation,Medium
2015-08-18,45.27,0.0,326.06,0.0048,Wealth Accumulation,Medium
2015-08-19,48.5,0.0,328.35,0.007,Wealth Accumulation,Medium
2015-08-20,55.4,7.28,338.84,0.0098,Wealth Accumulation,Medium
2015-08-21,44.87,0.0,338.91,0.0002,Wealth Accumulation,Medium
2015-08-22,41.84,0.0,340.27,0.004,Wealth Accumulation,Medium
2015-08-23,46.09,9.44,352.8,0.0091,Wealth Accumulation,Medium
2015-08-24,43.53,0.0,351.92,-0.0025,Wealth Accumulation,Medium
2015-08-25,58.9,0.0,353.96,0.0058,Wealth Accumulation,Medium
2015-08-26,56.47,0.0,356.19,0.0063,Wealth Accumulation,Medium
2015-08-27,52.98,7.63,362.5,-0.0037,Wealth Accumulation,Medium
2015-08-28,57.74,0.0,365.37,0.0079,Wealth Accumulation,Medium
2015-08-29,56.39,0.0,368.0,0.0072,Wealth Accumulation,Medium
2015-08-30,44.05,0.0,366.34,-0.0045,Wealth Accumulation,Medium
2015-08-31,58.17,0.0,365.02,-0.0036,Wealth Accumulation,Medium
2015-09-01,51.11,7.21,370.66,-0.0043,Wealth Accumulation,Medium
2015-09-02,56.48,7.06,377.72,0.0,Wealth Accumulation,Medium
2015-09-03,58.25,0.0,378.71,0.0026,Wealth Accumulation,Medium
2015-09-04,46.69,9.67,389.51,0.003,Wealth Accumulation,Medium
2015-09-05,42.54,0.0,389.12,-0.001,Wealth Accumulation,Medium
2015-09-06,44.9,0.0,392.51,0.0087,Wealth Accumulation,Medium
2015-09-07,48.88,0.0,392.7,0.0005,Wealth Accumulation,Medium
2015-09-08,56.7,0.0,391.02,-0.0043,Wealth Accumulation,Medium
2015-09-09,57.56,0.0,390.82,-0.0005,Wealth Accumulation,Medium
2015-09-10,40.49,8.56,400.55,0.003,Wealth Accumulation,Medium
2015-09-11,50.57,0.0,400.99,0.0011,Wealth Accumulation,Medium
2015-09-12,48.7,0.0,400.63,-0.0009,Wealth Accumulation,Medium
2015-09-13,44.8,0.0,399.43,-0.003,Wealth Accumulation,Medium
2015-09-14,42.76,7.76,410.11,0.0073,Wealth Accumulation,Medium
2015-09-15,47.11,0.0,414.17,0.0099,Wealth Accumulation,Medium
2015-09-16,59.22,9.42,423.55,-0.0001,Wealth Accumulation,Medium
2015-09-17,46.83,9.34,433.18,0.0007,Wealth Accumulation,Medium
2015-09-18,50.75,7.01,442.05,0.0043,Wealth Accumulation,Medium
2015-09-19,54.43,0.0,444.62,0.0058,Wealth Accumulation,Medium
2015-09-20,47.65,8.21,453.23,0.0009,Wealth Accumulation,Medium
2015-09-21,59.81,7.06,464.19,0.0086,Wealth Accumulation,Medium
2015-09-22,59.63,9.94,475.7,0.0034,Wealth Accumulation,Medium
2015-09-23,45.42,7.38,483.94,0.0018,Wealth Accumulation,Medium
2015-09-24,50.33,0.0,486.22,0.0047,Wealth Accumulation,Medium
2015-09-25,46.41,8.65,499.39,0.0093,Wealth Accumulation,Medium
2015-09-26,46.09,9.13,511.96,0.0069,Wealth Accumulation,Medium
2015-09-27,41.13,0.0,509.71,-0.0044,Wealth Accumulation,Medium
2015-09-28,52.59,0.0,509.71,-0.0,Wealth Accumulation,Medium
2015-09-29,50.45,0.0,510.78,0.0021,Wealth Accumulation,Medium
2015-09-30,41.43,0.0,510.63,-0.0003,Wealth Accumulation,Medium
2015-10-01,45.98,7.24,520.68,0.0055,Wealth Accumulation,Medium
2015-10-02,58.57,0.0,524.53,0.0074,Wealth Accumulation,Medium
2015-10-03,45.2,7.65,535.33,0.006,Wealth Accumulation,Medium
2015-10-04,43.31,0.0,540.57,0.0098,Wealth Accumulation,Medium
2015-10-05,50.21,0.0,540.09,-0.0009,Wealth Accumulation,Medium
2015-10-06,60.13,9.95,554.41,0.0081,Wealth Accumulation,Medium
2015-10-07,45.26,0.0,558.01,0.0065,Wealth Accumulation,Medium
2015-10-08,53.87,0.0,558.24,0.0004,Wealth Accumulation,Medium
2015-10-09,55.66,0.0,561.59,0.006,Wealth Accumulation,Medium
2015-10-10,45.18,0.0,559.68,-0.0034,Wealth Accumulation,Medium
2015-10-11,55.0,0.0,563.48,0.0068,Wealth Accumulation,Medium
2015-10-12,47.79,6.84,572.01,0.003,Wealth Accumulation,Medium
2015-10-13,53.08,8.97,580.64,-0.0006,Wealth Accumulation,Medium
2015-10-14,53.11,0.0,583.43,0.0048,Wealth Accumulation,Medium
2015-10-15,51.16,0.0,586.11,0.0046,Wealth Accumulation,Medium
2015-10-16,42.25,0.0,585.0,-0.0019,Wealth Accumulation,Medium
2015-10-17,57.16,0.0,582.37,-0.0045,Wealth Accumulation,Medium
2015-10-18,46.87,0.0,583.24,0.0015,Wealth Accumulation,Medium
2015-10-19,44.19,0.0,585.28,0.0035,Wealth Accumulation,Medium
2015-10-20,41.27,0.0,590.02,0.0081,Wealth Accumulation,Medium
2015-10-21,52.28,0.0,595.27,0.0089,Wealth Accumulation,Medium
2015-10-22,54.01,0.0,597.0,0.0029,Wealth Accumulation,Medium
2015-10-23,40.8,0.0,600.76,0.0063,Wealth Accumulation,Medium
2015-10-24,50.71,0.0,601.72,0.0016,Wealth Accumulation,Medium
2015-10-25,45.0,9.35,614.8,0.0062,Wealth Accumulation,Medium
2015-10-26,53.38,0.0,613.63,-0.0019,Wealth Accumulation,Medium
2015-10-27,43.96,0.0,614.0,0.0006,Wealth Accumulation,Medium
2015-10-28,54.3,0.0,616.76,0.0045,Wealth Accumulation,Medium
2015-10-29,48.22,0.0,613.87,-0.0047,Wealth Accumulation,Medium
2015-10-30,59.22,0.0,617.43,0.0058,Wealth Accumulation,Medium
2015-10-31,43.24,9.47,631.53,0.0075,Wealth Accumulation,Medium
2015-11-01,47.31,0.0,632.16,0.001,Wealth Accumulation,Medium
2015-11-02,42.76,0.0,633.23,0.0017,Wealth Accumulation,Medium
2015-11-03,58.99,0.0,638.17,0.0078,Wealth Accumulation,Medium
2015-11-04,58.05,9.41,651.79,0.0066,Wealth Accumulation,Medium
2015-11-05,45.66,0.0,651.34,-0.0007,Wealth Accumulation,Medium
2015-11-06,53.7,0.0,651.27,-0.0001,Wealth Accumulation,Medium
2015-11-07,56.85,0.0,654.66,0.0052,Wealth Accumulation,Medium
2015-11-08,51.61,0.0,656.89,0.0034,Wealth Accumulation,Medium
2015-11-09,51.11,0.0,655.18,-0.0026,Wealth Accumulation,Medium
2015-11-10,45.35,0.0,654.92,-0.0004,Wealth Accumulation,Medium
2015-11-11,42.38,0.0,660.48,0.0085,Wealth Accumulation,Medium
2015-11-12,58.47,0.0,663.98,0.0053,Wealth Accumulation,Medium
2015-11-13,58.53,6.78,677.27,0.0098,Wealth Accumulation,Medium
2015-11-14,53.19,0.0,681.67,0.0065,Wealth Accumulation,Medium
